pitcher,player_name,p_throws,pitch_type,pitches,stuff_plus,whiff_pct,barrel_pct,xwoba_against,avg_velo,avg_ivb,avg_hb
693645,"Schlittler, Cam",R,SI,98,106.9,13.3,0.0,0.09,97.1,11.4,-14.1
663855,"Hicks, Jordan",R,ST,169,106.9,32.0,1.8,0.087,83.0,2.6,10.4
656546,"Hoffman, Jeff",R,SL,222,106.8,34.2,1.4,0.058,87.0,-0.1,4.4
543135,"Eovaldi, Nathan",R,CU,252,106.8,30.2,0.8,0.05,75.9,-8.5,9.0
643377,"Jax, Griffin",R,CH,162,106.8,41.4,0.0,0.079,92.3,2.6,-14.0
666661,"Morillo, Juan",R,CH,59,106.8,27.1,0.0,0.071,92.1,8.3,-15.4
661395,"Duran, Jhoan",R,SI,315,106.8,17.5,0.6,0.097,97.8,2.0,-14.1
681857,"Olson, Reese",R,CH,156,106.8,41.0,0.0,0.073,87.7,0.3,-14.6
664076,"Cleavinger, Garrett",L,SI,205,106.7,18.0,1.0,0.102,96.3,9.2,16.3
815083,"Farris, Mitch",L,CH,75,106.7,33.3,0.0,0.087,78.0,-0.8,14.2
676961,"Boushley, Caleb",R,CH,57,106.7,33.3,0.0,0.11,85.0,6.2,-14.9
663947,"Holton, Tyler",L,SI,200,106.7,8.0,1.0,0.108,91.4,9.5,15.8
621053,"Ferguson, Tyler",R,SI,85,106.6,17.6,0.0,0.059,94.1,5.2,-16.2
640462,"Puk, A.J.",L,FF,62,106.5,22.6,1.6,0.071,96.5,14.9,11.5
694819,"Misiorowski, Jacob",R,FF,500,106.5,24.4,0.6,0.056,99.3,16.0,-9.7
677958,"Rocker, Kumar",R,FC,188,106.5,29.3,1.6,0.112,90.1,5.2,1.4
682120,"Herrin, Tim",L,CU,188,106.5,32.4,0.0,0.06,81.3,-2.9,-10.7
543056,"Coulombe, Danny",L,FC,217,106.5,28.1,0.5,0.089,85.2,2.8,-5.1
687911,"King, Bryan",L,FF,489,106.5,17.4,0.4,0.09,92.0,14.2,3.9
676395,"Garcia, Robert",L,FF,311,106.5,20.3,0.6,0.07,94.5,13.7,11.0
668678,"Gallen, Zac",R,SI,62,106.4,11.3,0.0,0.097,93.2,14.3,-11.3
670036,"Festa, Matt",R,FF,237,106.4,21.5,0.4,0.108,92.1,11.7,0.6
605483,"Snell, Blake",L,CU,121,106.4,34.7,0.0,0.075,80.4,-6.7,-12.2
608331,"Fried, Max",L,CU,340,106.4,27.9,0.6,0.078,75.2,-16.9,-10.7
623211,"Brazobán, Huascar",R,FC,65,106.3,27.7,0.0,0.078,89.4,7.3,-2.9
543243,"Gray, Sonny",R,FF,427,106.3,12.6,0.7,0.127,91.7,10.7,1.3
621383,"Banks, Tanner",L,FF,173,106.3,16.8,0.6,0.084,92.6,14.6,2.4
686993,"Sterner, Justin",R,FC,238,106.3,23.9,0.4,0.088,87.5,4.9,4.7
676979,"Crochet, Garrett",L,ST,365,106.2,35.6,0.3,0.078,82.8,-3.0,-13.7
657571,"Ferguson, Caleb",L,SI,161,106.2,9.3,0.0,0.072,94.0,11.3,14.6
669302,"Gilbert, Logan",R,FS,241,106.2,47.7,0.0,0.067,81.6,-0.6,-5.0
642397,"Soto, Gregory",L,ST,70,106.2,38.6,0.0,0.037,83.9,1.5,-12.6
605488,"Springs, Jeffrey",L,CH,476,106.2,36.6,0.8,0.111,79.1,6.9,12.6
641941,"Pagán, Emilio",R,FS,148,106.2,36.5,0.7,0.069,83.8,2.6,-7.3
641755,"Kinley, Tyler",R,CU,89,106.1,34.8,1.1,0.072,83.7,-7.4,3.0
605135,"Bassitt, Chris",R,CU,289,106.1,22.1,0.0,0.072,71.3,-11.6,16.9
656730,"Megill, Trevor",R,KC,197,106.1,36.0,0.0,0.062,87.5,-6.2,3.3
656222,"Beeks, Jalen",L,CH,195,106.1,28.2,0.5,0.08,88.7,9.9,16.0
